Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
6258316993,"Nov 13, 2021, 3:30:00 PM",Morning Activity,Rowing,,1173,"5,000",,,false,,,,,,1173.0,1173.0,5000.0,,4.262574672698975,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.262574672698975,0.0,,,,,,,,,,,,""
6267503818,"Nov 15, 2021, 9:15:00 PM",Afternoon Activity,Rowing,-1:50⁉️,2520,0,,,false,,,,,,2520.0,2520.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,media/47AB8D68-1B5F-4075-BDDC-12B76DA78262.jpg
6272567145,"Nov 17, 2021, 10:53:15 PM",Afternoon Activity,Rowing,Gettin better,2400,0,,,false,,,,,,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,media/BE41FBAA-FA96-4AF4-AE95-6B4E246A97BE.jpg
7153709043,"May 16, 2022, 6:16:32 PM",Afternoon Activity,Rowing,,3036,"12,000",,,false,,,,,,3036.0,3036.0,12000.0,,3.9525692462921143,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.9525692462921143,0.0,,,,,,,,,,,,media/B54C71D7-26C6-4E46-A112-BE8F62DD7F48.jpg|media/CDD7CE19-3DE6-4C0F-A72C-40121B384434.jpg
7157524967,"May 17, 2022, 1:09:02 PM",Morning Activity,Rowing,,3600,"14,300",,,false,,,,,,3600.0,3600.0,14300.0,,3.972222328186035,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.972222328186035,0.0,,,,,,,,,,,,media/14EDF04B-BC13-4BFF-8D39-92FFFB2192D0.jpg|media/3E30C39E-8B5A-49EC-B6B2-0F9AB70B0122.jpg
7163177981,"May 18, 2022, 1:31:22 PM",Morning Activity,Rowing,Wanted to try practice pieces plus an extra. Gonna add another 1k every week. ,880,"4,000",,,false,,,,,,880.0,880.0,4000.0,,4.545454502105713,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.545454502105713,0.0,,,,,,,,,,,,media/6F36CA35-8372-4D90-B320-2A545F8BD9D3.jpg|media/AEAB57A7-8F32-4077-9D5C-683759F96600.jpg
7165996186,"May 18, 2022, 10:40:25 PM",Evening Run,Run,Tryna get that sub 25 soon👀,1652,5.00,,,false,,,,,,1652.0,1652.0,5000.0,,3.026634454727173,,,,,,0.0,,,,,,,,,487.65509033203125,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.026634454727173,0.0,,,,,,,,,,,,media/881E0133-FA9A-45E0-92DE-9977122C2A6A.jpg|media/09E69A9D-80F7-48F5-A977-F2C0021D1A69.jpg
7169381389,"May 19, 2022, 3:47:33 PM",Lunch Activity,Rowing,Sum light ,2500,"10,000",,,false,,,,,,2500.0,2500.0,10000.0,,4.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,,,,,,,,,,,,media/1D106429-45A8-45F6-9E5D-81D9A46FC896.jpg|media/3B273969-A18D-44E4-A1D6-0F1F4C62C1AD.jpg
7187985444,"May 23, 2022, 1:46:06 AM",Night Activity,Rowing,,3600,"14,500",,,false,,,,,,3600.0,3600.0,14500.0,,4.027777671813965,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.027777671813965,0.0,,,,,,,,,,,,media/0E7A4EBC-CE35-4FE3-862E-D1E3D9CB011C.jpg
7202585878,"May 25, 2022, 8:31:06 PM",Afternoon Activity,Rowing,Eh,3600,"14,400",,,false,,,,,,3600.0,3600.0,14400.0,,4.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,,,,,,,,,,,,media/0FBC69B3-FAC6-45C3-8BD3-87EBE041858A.jpg
7208200540,"May 26, 2022, 8:38:33 PM",Afternoon Activity,Rowing,Oh yeah,4426,"18,000",,,false,,,,,,4426.0,4426.0,18000.0,,4.066877365112305,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.066877365112305,0.0,,,,,,,,,,,,media/DCE9626B-4474-4D8A-88EF-AD62952BDE75.jpg|media/553B40C9-69A7-4050-95F3-13C238375F1A.jpg
7213578277,"May 28, 2022, 1:18:02 AM",Night Activity,Rowing,Gunna hit sum fat piece tomorrow ,1960,"8,000",,,false,,,,,,1960.0,1960.0,8000.0,,4.081632614135742,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.081632614135742,0.0,,,,,,,,,,,,media/5D254AA8-491F-4523-9C35-C3B3A3877B87.jpg
7222548874,"May 29, 2022, 2:58:20 PM",Morning Run,Run,Forgot to post 5k run and 5k row from yesterday,2804,10.00,,,false,,,,,,2804.0,2804.0,10000.0,,3.566333770751953,,,,,,0.0,,,,,,,,,975.3101806640625,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.566333770751953,0.0,,,,,,,,,,,,""
7223008645,"May 29, 2022, 4:33:22 PM",Lunch Run,Run,Gettin faster ,1523,5.00,,,false,,,,,,1523.0,1523.0,5000.0,,3.282994031906128,,,,,,0.0,,,,,,,,,487.65509033203125,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.282994031906128,0.0,,,,,,,,,,,,media/C411BB83-6D21-4C05-B73F-E07FD7C5B6A3.jpg
7234395767,"May 31, 2022, 8:56:43 PM",Afternoon Activity,Rowing,Sum light,3670,"15,000",,,false,,,,,,3670.0,3670.0,15000.0,,4.087193489074707,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.087193489074707,0.0,,,,,,,,,,,,media/D1A8FD64-FCC9-44BC-A9E3-482A8962A584.jpg|media/4A3F19E3-32F9-45AB-AD20-698383C71E17.jpg
