Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/23/2024 7:49,FALSE,Douglas County Running,6.42,614,0:45:00,156,177,172,182,7:01,5:56,563,564,1.33,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:51.7,7,NaN,0:44:56,0:45:40,"5,931","6,308"
Running,10/22/2024 9:00,FALSE,Douglas County Running,6.75,641,0:45:01,163,192,171,195,6:40,4:55,323,320,1.41,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:21.4,7,NaN,0:44:53,0:47:33,"5,840","6,047"
Running,10/21/2024 14:34,FALSE,Littleton Running,7.48,684,0:50:01,158,183,169,177,6:41,5:43,199,206,1.42,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:03.8,8,NaN,0:49:59,0:50:01,"5,333","5,539"
Running,10/19/2024 9:32,FALSE,Littleton Running,14,"1,267",1:26:48,166,196,175,188,6:12,5:24,96,106,1.48,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.4,15,NaN,1:26:40,1:29:10,"5,261","5,367"
Running,10/18/2024 10:37,FALSE,Douglas County Running,7.47,695,0:50:01,157,176,171,184,6:42,6:17,405,400,1.4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:10.3,8,NaN,0:49:48,0:50:27,"5,884","6,064"
Running,10/17/2024 7:50,FALSE,Douglas County Running,7.22,656,0:50:00,153,183,169,198,6:56,4:19,637,653,1.37,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:24.4,8,NaN,0:49:45,0:55:14,"5,912","6,260"
Running,10/16/2024 7:50,FALSE,Douglas County Running,6.67,634,0:45:00,166,185,171,182,6:45,6:02,627,626,1.39,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:24.5,7,NaN,0:44:41,0:46:08,"5,911","6,314"
Running,10/15/2024 7:28,FALSE,Douglas County Running,7.7,712,0:50:01,161,185,173,193,6:30,4:49,216,214,1.43,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:52.2,8,NaN,0:49:45,0:52:57,"5,499","5,618"
Running,10/14/2024 6:42,FALSE,Douglas County Running,6.56,623,0:45:03,158,186,169,199,6:52,4:20,384,384,1.38,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:01.2,7,NaN,0:44:52,0:46:07,"5,810","5,978"
Running,10/12/2024 6:48,FALSE,Parker Running,12,"1,100",1:15:53,164,189,176,189,6:19,5:14,135,138,1.45,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.1,13,NaN,1:15:44,1:19:40,"5,772","5,906"
