Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-10-17 18:08:59,false,"Winston-Salem Running","3.18","320","00:29:03","151","167","177","192","9:08","7:50","207","161","0.99","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:01:26.4","4","NaN","00:29:00","00:29:28","751","955"
Running,2024-10-16 07:20:38,false,"Winston-Salem Running","2.04","198","00:19:53","141","158","174","188","9:46","8:54","3","--","0.95","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:21.6","3","NaN","00:19:46","00:20:54","747","771"
Running,2024-10-13 08:09:32,false,"Chicago Marathon","26.57","3,003","03:50:10","177","193","177","200","8:40","5:45","200","200","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:04:33.7","27","NaN","03:49:58","03:50:21","562","754"
Running,2024-10-12 08:41:31,false,"Chicago Running","3.17","333","00:33:02","143","155","167","182","10:25","7:49","59","49","0.92","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:01:58.3","4","NaN","00:32:46","00:49:25","584","691"
Running,2024-10-10 18:07:02,false,"Winston-Salem Running","3.20","319","00:30:06","147","175","174","188","9:24","7:55","222","211","0.98","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:01:48.3","4","NaN","00:29:55","00:30:23","752","956"
Cardio,2024-10-10 07:35:47,false,"Cardio","0.00","53","00:15:18","87","129","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:15:18","1","NaN","00:00:00","00:15:18","757","757"
Running,2024-10-09 06:14:34,false,"Winston-Salem Running","4.52","437","00:38:49","157","180","176","188","8:36","6:45","69","80","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:04:34.4","5","NaN","00:38:42","00:58:43","747","767"
Walking,2024-10-08 17:47:34,false,"Winston-Salem Walking","0.78","80","00:15:41","89","102","99","247","20:04","7:36","54","49","0.81","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:15:41","1","NaN","00:15:09","00:15:48","869","925"
Running,2024-10-07 18:16:04,false,"Winston-Salem Running","3.05","322","00:30:45","145","160","172","186","10:06","9:22","156","159","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:29.2","4","NaN","00:30:38","00:30:48","845","958"
Running,2024-10-06 13:29:47,false,"Winston-Salem Running","5.01","472","00:49:35","140","170","168","188","9:54","6:00","140","131","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.5","6","NaN","00:49:06","00:59:31","723","776"
Running,2024-10-05 07:35:37,false,"Winston-Salem Running","8.22","854","01:14:38","161","183","173","182","9:05","7:27","415","416","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:02:18.1","9","NaN","01:14:17","01:31:00","742","956"
Running,2024-10-02 06:08:13,false,"Winston-Salem Running","7.01","668","00:58:00","161","192","175","206","8:17","6:26","49","54","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:07.1","8","NaN","00:57:48","01:28:25","747","767"
Walking,2024-10-01 16:37:58,false,"Winston-Salem Walking","1.02","100","00:19:26","91","110","102","248","18:58","6:46","40","44","0.83","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:28.4","2","NaN","00:18:48","00:19:48","886","927"
Running,2024-09-30 18:15:41,false,"Winston-Salem Running","3.05","320","00:29:49","148","174","173","190","9:46","8:09","157","167","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:32.4","4","NaN","00:29:45","00:30:36","844","958"
Cardio,2024-09-30 08:01:12,false,"Cardio","0.00","183","00:35:17","107","136","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:35:17","1","NaN","00:00:00","00:37:14","--","--"
Running,2024-09-29 14:17:03,false,"Winston-Salem Running","5.78","590","00:52:32","157","181","170","224","9:05","7:11","89","91","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:07:58.5","6","NaN","00:52:11","01:01:09","742","780"
Walking,2024-09-29 10:09:35,false,"Surry County Walking","2.12","218","00:41:50","110","134","117","247","19:42","8:44","395","397","0.70","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:02:14.9","3","NaN","00:40:47","00:54:20","958","1,096"
