Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
8751314573,"Feb 17, 2023, 7:07:53 AM",Neighbourhood,Run,"",1971,5.70,174.0,78,false,,"",activities/9392391049.gpx.gz,,,1971.0,1971.0,5704.75634765625,6.549592018127441,2.894346237182617,7.933333396911621,7.733329772949219,7.0,13.699999809265137,2.9230074882507324,0.0035058462526649237,,,,,,164.6444854736328,,,554.390869140625,,,78.0,,,,,,,,,,,,,0.0,,1.0,5711.5,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.894346237182617,235.10000610351562,,,,,,,,,,,,""
8751314574,"Mar 11, 2023, 9:30:07 AM",26k Fæstningen og planeterne - part 1,Run,"",1813,5.36,168.0,53,false,,"",activities/9392391006.gpx.gz,,,1813.0,1716.0,5363.6240234375,9.132368087768555,3.125654935836792,17.99333381652832,15.39330005645752,5.599999904632568,16.0,9.125969886779785,0.048474688082933426,,,,,,159.23135375976562,,,523.4268798828125,,,53.0,,,,,,,,,,,,,0.0,,1.0,5392.5,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.9584248065948486,1092.0999755859375,,,,,,,,,,,,""
8751314625,"Feb 19, 2023, 7:02:53 AM",20k Hadsten,Run,"",7115,20.06,181.0,268,false,,"",activities/9392391040.gpx.gz,,,7115.0,7100.0,20061.22265625,5.869533538818359,2.82552433013916,225.97000122070312,227.97000122070312,12.699999809265137,86.4000015258789,16.153188705444336,-0.009969482198357582,,,,,,163.6853485107422,,,1989.7598876953125,,,268.0,,,,,,,,,,,,,0.0,,1.0,20499.099609375,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.8195674419403076,7543.89990234375,,,,,,,,,,,,""
8751314627,"Mar 11, 2023, 10:02:01 AM",26k Fæstningen og planeterne - part 2,Run,"",6714,20.23,174.0,274,false,,"",activities/9392390993.gpx.gz,,,6714.0,6695.0,20229.095703125,7.368200778961182,3.0215229988098145,50.68333435058594,53.58330154418945,0.800000011920929,30.200000762939453,4.553612232208252,-0.014335785992443562,,,,,,166.298583984375,,,1968.03662109375,,,274.0,,,,,,,,,,,,,0.0,,1.0,20275.30078125,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,3.012972354888916,5044.0,,,,,,,,,,,,""
8751314628,"Mar 5, 2023, 8:29:52 AM",Nike Spring Run,Run,"",6858,21.35,177.0,290,false,,"",activities/9392391017.gpx.gz,,,6858.0,6858.0,21357.3046875,4.89960241317749,3.114217758178711,31.343334197998047,31.04330062866211,12.699999809265137,17.700000762939453,2.1145381927490234,0.001404671580530703,,,,,,166.6876678466797,,,2075.634033203125,,,290.0,,,,,,,,,,,,,0.0,,1.0,21383.80078125,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,3.114217758178711,6189.2001953125,,,,,,,,,,,,""
8751314632,"Feb 26, 2023, 9:00:14 AM",26k Valby parken og Kalvebod,Run,"",9027,26.14,176.0,404,false,,"",activities/9392391030.gpx.gz,,,9027.0,8957.0,26145.85546875,8.328001022338867,2.919041395187378,92.77999877929688,92.9800033569336,-1.2999999523162842,31.0,17.627050399780273,-0.0007649395847693086,,,,,,167.9690704345703,,,2552.46923828125,,,404.0,,,,,,,,,,,,,0.0,,1.0,26296.30078125,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.8964056968688965,8536.2998046875,,,,,,,,,,,,""
8751314646,"Mar 17, 2023, 7:27:15 AM",28k Fæstningen,Run,"",9395,28.06,178.0,425,false,,"",activities/9392390984.gpx.gz,,,9395.0,9316.0,28065.90234375,7.90170955657959,3.0126559734344482,98.22000122070312,98.5199966430664,5.599999904632568,36.5,9.540894508361816,-0.0010689126793295145,,,,,,168.18077087402344,,,2736.28271484375,,,425.0,,,,,,,,,,,,,0.0,,1.0,28190.0,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.98732328414917,7493.39990234375,,,,,,,,,,,,""
8751314654,"Jan 18, 2023, 2:30:22 PM",Afternoon Run,Run,"",1109,3.37,180.0,40,false,,"",activities/9392391124.gpx.gz,,,1109.0,1099.0,3378.4541015625,6.274899482727051,3.0741164684295654,24.487619400024414,24.587600708007812,48.5,64.80000305175781,6.3404154777526855,-0.0029599335975944996,,,,,,162.38853454589844,,,330.53790283203125,,,40.0,,,,,,,,,,,,,0.0,,1.0,3405.300048828125,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,3.0463967323303223,873.7999877929688,,,,,,,,,,,,""
8751314655,"Feb 8, 2023, 7:24:50 AM",Frb Have,Run,"",2098,6.11,177.0,67,false,,"",activities/9392391086.gpx.gz,,,2098.0,1969.0,6109.759765625,6.511366367340088,3.102976083755493,10.606666564941406,10.10669994354248,8.5,19.399999618530273,2.397193193435669,0.008183627389371395,,,,,,160.5083770751953,,,593.6151123046875,,,67.0,,,,,,,,,,,,,0.0,,1.0,6115.60009765625,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.9121830463409424,1847.4000244140625,,,,,,,,,,,,""
8751314671,"Feb 10, 2023, 7:09:06 AM",Morning Run,Run,"",1901,5.21,161.0,41,false,,"",activities/9392391080.gpx.gz,,,1901.0,1859.0,5215.62744140625,4.595478057861328,2.8056089878082275,7.900000095367432,7.699999809265137,7.0,13.699999809265137,3.154923439025879,0.0038346298970282078,,,,,,149.21917724609375,,,507.0325012207031,,,41.0,,,,,,,,,,,,,0.0,,1.0,5223.60009765625,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.7436230182647705,242.60000610351562,,,,,,,,,,,,""
