ID da atividade,Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Nome do arquivo,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Bicicleta,Equipamento,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono,Extensão da piscina,Carga de treinamento,Intensidade,Ritmo Ajustado à inclinação média,Tempo do temporizador,Total de ciclos,Mídia
617808206,21 de jun de 2016 09:13:20,Corrida Salvador,Corrida,"",3045,"8,00",166.0,112,false,,Nimbus 16 II,activities/673456348.fit.gz,75.9000015258789,,3045.0,2845.0,8007.60009765625,3.799999952316284,,100.7088851928711,,0.0,39.900001525878906,29.399999618530273,0.009990508668124676,,,,,166.0,137.2658233642578,,,777.4354248046875,,,112.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951469,4 de jun de 2016 10:59:26,Corrida Salvador,Corrida,"",3414,"8,00",157.0,67,false,,Nimbus 16 II,activities/673611494.fit.gz,75.69999694824219,,3414.0,3382.0,8008.89990234375,3.299999952316284,,119.87809753417969,,0.0,39.900001525878906,48.29999923706055,-0.09364581853151321,,,,,157.0,123.85157012939453,,,787.4410400390625,,,67.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951472,31 de mai de 2016 22:22:48,Corrida Rio de Janeiro,Corrida,"",2428,"5,00",126.0,18,false,,Nimbus 16 II,activities/673611497.fit.gz,75.69999694824219,,2428.0,2230.0,5002.5,4.900000095367432,,22.021699905395508,,4.5,27.0,10.899999618530273,0.007996000349521637,,,,,126.0,110.46399688720703,,,468.8781433105469,,,18.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951480,2 de jun de 2016 22:00:46,Corrida Salvador,Corrida,"",2536,"5,00",,,false,,"",activities/673611500.fit.gz,75.69999694824219,,2536.0,2165.0,5008.2998046875,3.200000047683716,,33.92499923706055,,0.0,20.200000762939453,25.100000381469727,-0.055907201021909714,,,,,,,,,477.32354736328125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525170.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951483,14 de jun de 2016 22:08:28,Corrida Salvador,Corrida,"",3302,"7,01",149.0,73,false,,Nimbus 16 II,activities/673611507.fit.gz,75.69999694824219,,3302.0,2616.0,7009.2998046875,3.5,,109.45833587646484,,0.0,39.70000076293945,34.0,-0.02996019646525383,,,,,149.0,130.2301483154297,,,680.7852783203125,,,73.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951493,18 de jun de 2016 11:24:19,Corrida Rio de Janeiro,Corrida,"",3900,"10,00",152.0,117,false,,Nimbus 17,activities/673611512.fit.gz,75.5,,3900.0,3783.0,10007.7998046875,3.5999999046325684,,43.80190658569336,,0.0,25.399999618530273,19.899999618530273,0.04396570846438408,,,,,152.0,131.17332458496094,,,945.7426147460938,,,117.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508239.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951494,22 de mai de 2016 12:27:15,Corrida Salvador,Corrida,"",3138,"6,00",118.0,25,false,,Nimbus 16 II,activities/673611517.fit.gz,75.69999694824219,,3138.0,3106.0,6007.2998046875,3.4000000953674316,,52.19279861450195,,58.900001525878906,86.5999984741211,19.299999237060547,-0.16646400094032288,,,,,118.0,111.51300048828125,,,569.413818359375,,,25.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951496,26 de mai de 2016 15:43:01,Pedalada Rio de Janeiro,Pedalada,"",6261,"9,75",,,false,,Itaú,activities/673611523.fit.gz,75.69999694824219,12.0,6261.0,3661.0,9753.0,4.900000095367432,,55.29999923706055,,0.0,29.399999618530273,30.200000762939453,-0.13534300029277802,,,,,,,,42.543399810791016,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3014974.0,,,,,,,,,,,,,,,,,,,,,,,,,""
617951502,24 de mai de 2016 09:44:15,Corrida Rio de Janeiro,Corrida,"",3925,"10,00",162.0,115,false,,Nimbus 16 II,activities/673611532.fit.gz,75.69999694824219,,3925.0,3658.0,10008.7001953125,4.800000190734863,,0.0,,2.0999999046325684,22.5,9.600000381469727,-0.08892263472080231,,,,,162.0,131.7745819091797,,,932.25,,,115.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
617951879,12 de jun de 2016 20:06:33,Corrida Salvador,Corrida,"",3835,"8,00",160.0,45,false,,Nimbus 17,activities/673611934.fit.gz,75.69999694824219,,3835.0,3819.0,8006.2998046875,3.299999952316284,,108.33699798583984,,0.0,84.69999694824219,22.399999618530273,-0.1124109998345375,,,,,160.0,124.11799621582031,,,773.3126831054688,,,45.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508239.0,,,,,,,,,,,,,,,,,,,,,,,,""
